instances,Source,feature_fixedDig_num,feature_fixedDig_mean,feature_fixedDig_CV,feature_fixedDig_min,feature_fixedDig_max,feature_fixedDig_entropy,feature_counts_mean,feature_counts_naked1,feature_counts_naked2,feature_counts_naked3,feature_counts_CV,feature_counts_min,feature_counts_max,feature_counts_entropy,feature_value_mean,feature_value_CV,feature_value_min,feature_value_max,feature_value_entropy,feature_emptySets,feature_SAT_c,feature_SAT_ratio,feature_SAT_ratio2,feature_SAT_ratio3,feature_SAT_ratioRec,feature_SAT_ratioRec2,feature_SAT_ratioRec3,feature_SAT_ratioLin,feature_SAT_ratioLin2,feature_SAT_ratioLin3,feature_VG_mean,feature_VG_CV,feature_VG_entropy,feature_CG_mean,feature_CG_CV,feature_CG_entropy,feature_CGclust_mean,feature_CGclustCV,feature_CGclustentropy,feature_LP_obj,feature_LP_fracInt,feature_LPslack_mean,feature_LPslack_CV,feature_LPslack_entropy,feature_GCP_nodes,feature_GCP_edges,feature_GCP_density,feature_GCP_nDeg_mean,feature_GCP_nDeg_std,feature_GCP_avgPath,feature_GCP_bc_mean,feature_GCP_bc_std,feature_GCP_clustcoef,feature_GCP_weiner,algo_SA_SR,algo_RR_SR,algo_RVNS_SR,algo_SD_SR
..89....751.6.2.3.6.45.3..83...5.......4..1.2825..79..7...4.6...5.8...24.69..13..,0,34.0,3.7777777777777777,0.16637806616154058,3.0,5.0,2.1834020721872998,3.0851063829787235,5.0,8.0,17.0,0.3712625885157178,1.0,6.0,3.7760508879988715,16.11111111111111,0.24206798310047234,10.0,22.0,2.167773277998523,0,7677.0,10.530864197530864,110.89910074683736,1167.8633695932378,0.09495896834701055,0.009017205669528553,0.000856264547751246,6.270864197530864,39.32373778387441,246.5938193819897,37.95289079229122,0.4915995879965291,8.906470792157197,37.501628240197995,0.15505737276251982,8.92568558722505,0.5084577809604034,0.22027985205754105,8.917907634615709,115.0,1.0,-0.738569753810082,-0.5949523123480184,8.642944396721798,56.0,619.0,0.40194805194805194,22.107142857142858,9.489992043178532,1.598051948051948,0.011075036075036074,0.016628059519034368,0.6267249425190744,2461.0,1.0,1.0,1.0,0.95
.5.3.....3.7..156..69..72.8..642..7.8.....42....7.5..97..8.4.1.59..6.3....49..8.2,0,34.0,3.7777777777777777,0.20797258270192576,2.0,5.0,2.173408011199335,3.021276595744681,2.0,13.0,19.0,0.3378814235463424,1.0,5.0,3.7921644201693607,15.777777777777779,0.34427905807268494,9.0,28.0,2.142874799747851,0,7677.0,10.530864197530864,110.89910074683736,1167.8633695932378,0.09495896834701055,0.009017205669528553,0.000856264547751246,6.270864197530864,39.32373778387441,246.5938193819897,37.95289079229122,0.4915995879965291,8.906470792157197,37.501628240197995,0.15505737276251982,8.925685587225049,0.5084577210973215,0.22028004241611285,8.917907594507028,115.0,1.0,-0.738569753810082,-0.5949523123480184,8.642944396721798,56.0,611.0,0.39675324675324675,21.821428571428573,9.437968801709445,1.6032467532467531,0.011171236171236174,0.017584793656230113,0.6248234087531314,2469.0,1.0,1.0,0.8,0.8
..2..34.931...7..675.642..8..8....434...5..2.6.17..9...7.1895......2..1..8...63..,0,34.0,3.7777777777777777,0.11004874666982181,3.0,4.0,2.1908335880465852,3.0,5.0,9.0,19.0,0.3766217885773547,1.0,6.0,3.775416275833226,15.666666666666666,0.22111286905134603,13.0,22.0,2.1744761729947686,0,7677.0,10.530864197530864,110.89910074683736,1167.8633695932378,0.09495896834701055,0.009017205669528553,0.000856264547751246,6.270864197530864,39.32373778387441,246.5938193819897,37.95289079229122,0.4915935399579218,8.906473544658068,37.501628240197995,0.15504064656405675,8.925688081241754,0.5084603184899354,0.22027783730164535,8.917907979178343,115.0,1.0,-0.738569753810082,-0.5949523123480184,8.642944396721798,56.0,619.0,0.40194805194805194,22.107142857142858,9.694767682010914,1.598051948051948,0.011075036075036074,0.017214480125551348,0.6391970812806854,2461.0,1.0,1.0,1.0,0.95
8.4.2.51...61.32.992..75.....3....84.6.7.1..57..83.1....95..67.2....9..1.4.....38,0,35.0,3.888888888888889,0.14568627181693672,3.0,5.0,2.1864929768877985,2.9130434782608696,0.0,14.0,23.0,0.25635170204951746,2.0,5.0,3.79619070971371,14.88888888888889,0.2013542919885379,10.0,20.0,2.1771043149361415,0,7686.0,10.54320987654321,111.1592745008383,1171.9755607866161,0.09484777517564402,0.008996100455769516,0.0008532601134863357,6.283209876543211,39.47872635269015,248.05312333256947,37.9572192513369,0.49180642698908683,8.907481563018795,37.499349466562585,0.15624667897399808,8.926593927263312,0.5089010209803999,0.22244630201164664,8.918628846885065,116.0,1.0,-0.7377049180327869,-0.5962847939999439,8.642944396721798,55.0,598.0,0.4026936026936027,21.745454545454546,9.390939892583473,1.5973063973063972,0.011269932024649005,0.017122887973054102,0.6304582163350457,2372.0,1.0,1.0,1.0,1.0
...56..8.7..9..4..56827.1...92....138.54.172...6..5....4..3765...1...8.2...1...9.,0,34.0,3.7777777777777777,0.24253562503633297,2.0,5.0,2.1659764953400495,3.276595744680851,6.0,5.0,15.0,0.38140714689840033,1.0,5.0,3.7685379258619824,17.11111111111111,0.2882122210541837,11.0,27.0,2.157297474634237,0,7677.0,10.530864197530864,110.89910074683736,1167.8633695932378,0.09495896834701055,0.009017205669528553,0.000856264547751246,6.270864197530864,39.32373778387441,246.5938193819897,37.95289079229122,0.49160412397665504,8.906468727781546,37.501628240197995,0.15506991622740923,8.925683716712522,0.5084561397142382,0.22028053024765376,8.917907551682218,115.0,1.0,-0.738569753810082,-0.5949523123480184,8.642944396721798,56.0,620.0,0.4025974025974026,22.142857142857142,9.517706377792791,1.5974025974025974,0.011063011063011064,0.017150743921027216,0.6320271564899735,2460.0,1.0,1.0,1.0,0.95
8.271.6.9..9.4...3...6...872..8935....5...39...6.2..18.7345...6..19..4..5....2...,0,34.0,3.7777777777777777,0.16637806616154058,3.0,5.0,2.1834020721872998,3.3404255319148937,3.0,10.0,12.0,0.3719439826918836,1.0,6.0,3.7770756064328666,17.444444444444443,0.19129499895135296,13.0,23.0,2.179205203798729,0,7677.0,10.530864197530864,110.89910074683736,1167.8633695932378,0.09495896834701055,0.009017205669528553,0.000856264547751246,6.270864197530864,39.32373778387441,246.5938193819897,37.95289079229122,0.49161017188505235,8.906465975280677,37.501628240197995,0.15508663926911942,8.925681222695816,0.5084536620477882,0.22028235448813785,8.917907247263734,115.0,1.0,-0.738569753810082,-0.5949523123480184,8.642944396721798,56.0,617.0,0.40064935064935064,22.035714285714285,9.155334677728854,1.5993506493506493,0.0110990860990861,0.016342962066382572,0.6211287532107741,2463.0,1.0,1.0,1.0,0.9
7..2.9681.4.65.3..9.......7.8...415.........8163..82....8.6.7.3.9.4.2....527...6.,0,33.0,3.6666666666666665,0.22268088570756164,3.0,5.0,2.17335852075976,3.2916666666666665,1.0,13.0,15.0,0.3613696816106379,1.0,6.0,3.8066334019309838,17.555555555555557,0.2618754539946481,10.0,24.0,2.160980762946208,0,7668.0,10.518518518518519,110.63923182441702,1163.760808819794,0.09507042253521127,0.009038385241023605,0.0008592831039001314,6.258518518518519,39.16905404663924,245.14025010374442,37.948553054662376,0.4913920905519658,8.905459028760221,37.50391236306729,0.15385631808470052,8.92477646250602,0.5080135004708765,0.21807533909718002,8.917187657377667,114.0,1.0,-0.7394366197183099,-0.5936168397046637,8.642944396721798,57.0,627.0,0.39285714285714285,22.0,9.34710763031172,1.6071428571428572,0.01103896103896104,0.01715413386753725,0.6196725264637998,2565.0,1.0,1.0,0.95,0.95
.3.854...9..7..2...4.2..7.83......8..2..1.5.38.9..362..16.9..5.5.7.4..9......64.7,0,33.0,3.6666666666666665,0.18181818181818182,2.0,4.0,2.1783750360579606,3.0625,1.0,13.0,22.0,0.32928262068791697,1.0,6.0,3.818420376424579,16.333333333333332,0.2900544980316713,12.0,28.0,2.1594538829546086,0,7668.0,10.518518518518519,110.63923182441702,1163.760808819794,0.09507042253521127,0.009038385241023605,0.0008592831039001314,6.258518518518519,39.16905404663924,245.14025010374442,37.948553054662376,0.4913830028302797,8.905463162409214,37.50391236306729,0.1538310056204475,8.924780207693843,0.5080170565159446,0.21807315750313858,8.917187995185234,114.0,1.0,-0.7394366197183099,-0.5936168397046637,8.642944396721798,57.0,621.0,0.3890977443609023,21.789473684210527,9.365365162943322,1.6109022556390977,0.011107313738892684,0.017142438158944926,0.6198682998125392,2571.0,1.0,1.0,1.0,0.9
2.31.4.....89..1..1.48..7.6.....3.1....428..5..67..9327.1....5993...74..4.2....8.,0,34.0,3.7777777777777777,0.2727534851616384,2.0,5.0,2.1559824343520853,3.382978723404255,1.0,10.0,18.0,0.3635851178061543,1.0,7.0,3.785896566188477,17.666666666666668,0.3866773873947018,10.0,31.0,2.1275465842005836,0,7677.0,10.530864197530864,110.89910074683736,1167.8633695932378,0.09495896834701055,0.009017205669528553,0.000856264547751246,6.270864197530864,39.32373778387441,246.5938193819897,37.95289079229122,0.49160865991492836,8.906466663405894,37.501628240197995,0.15508245867775122,8.925681846199993,0.5084544984680729,0.22028120839483947,8.917907468758614,115.0,1.0,-0.738569753810082,-0.5949523123480184,8.642944396721798,56.0,609.0,0.39545454545454545,21.75,9.194816086096711,1.6045454545454545,0.011195286195286197,0.017773227763707433,0.6302752727463099,2471.0,1.0,1.0,1.0,1.0
7..14.65...97.2..386...9..2.85..3.24..4...9..1.3..6.8.54.6......2.5873......9.7..,0,34.0,3.7777777777777777,0.1663780661615406,2.0,4.0,2.180839527058621,3.106382978723404,3.0,10.0,16.0,0.33358344279139507,1.0,6.0,3.7910249850201185,16.22222222222222,0.2917197183431076,12.0,29.0,2.1606620423722473,0,7677.0,10.530864197530864,110.89910074683736,1167.8633695932378,0.09495896834701055,0.009017205669528553,0.000856264547751246,6.270864197530864,39.32373778387441,246.5938193819897,37.95289079229122,0.49159656398652657,8.90647216840763,37.501628240197995,0.15504900988883447,8.925686834233403,0.5084590646909399,0.22027879710175302,8.917907816921558,115.0,1.0,-0.738569753810082,-0.5949523123480184,8.642944396721798,56.0,614.0,0.3987012987012987,21.928571428571427,9.591397080675145,1.6012987012987012,0.011135161135161137,0.017689993348392576,0.6356019910315496,2466.0,1.0,1.0,0.85,0.85
